task;synonym_1;synonym_2;synonym_3;synonym_4
open_card;открой карточку;карту откройте;юридическое лицо;
low_back_pain;боль в нижней части спины;;;
lung_nodule;легочный узел;;;
malaise;недомогание;;;
mass_in_breast;новообразование в груди;комок в груди;;
mass_of_body_structure;новообразование в теле;;;
mediastinal_shift;смещение средостения;;;
mental_status_changes;смена психического статуса;перемена настроения;;
metastatic_lesion;поражение метастазами;;;
moan;стон;;;
monoclonal;моноклональные антитела;;;
mood_depressed;депрессивное состояние;;;
moody;угрюмость;;;
motor_retardation;Психомоторное торможение;психомоторная отсталость;;
Murphy's_sign;Симптом Мерфи;боль в желчном пузыре при надавливании;;
muscle_hypotonia;Мышечная гипотония;;;
muscle_twitch;мышечное подергивание;;;
myalgia;миалгия;боль в мышцах;;
mydriasis;расширение зрачка;мидриаз;;
myoclonus;сокращения в мышцах;миоклония;;
nasal_flaring;затруднение дыхания носом;;;
nausea;тошнота;;;
neck_stiffness;ригидность мышц шеи;;;
night_sweat;ночная потливость;;;
nightmare;ночной кошмар;;;
no_status_change;не меняющееся состояние;;;
non-productive_cough;сухой кашель;;;
nonsmoker;некурящий;;;
numbness;онемение;;;
numbness_of_hand;онемение руки;;;
orthopnea;одышка в положении лежа;;;
orthostasis;потемнение в глазах;Ортостатический коллапс;;
out_of_breath;задыхатся;;;
overweight;лишний вес;;;
pain;боль;;;
pain_abdominal;боль в животе;болит живот;;
pain_chest;боль в груди;;;
pain_neck;боль в шее;;;
painful_swallowing;болезненное глотание;;;
pallor;побледнение;;;
palpitation;тахикардия;усиленное биение сердца;пальпитация;
panic;паника;;;
paralyse;паралич;;;
paraparesis;парапарез;поражение обоих конечностей;;
paresis;парез;;;
paresthesia;Парестезия;жжение;;
passed_stones;камни;;;
patient_non_compliance;несоблюдение лечения;;;
pericardial_friction_rub;периакардит;;;
phonophobia;боязнь громких звуков;;;
photophobia;боязнь света;боль в глазах;;
pin-point_pupils;суженные зрачки;маленькие зрачки;;
pleuritic_pain;боль в легких;плевритная боль;;
polydypsia;полидипсия;жажда;;
polymyalgia;полимиалгия;боль в плечах;;
polyuria;увеличенное образование мочи;полиурия;;
posturing;сутулость;изменения положения тела;позотонические реакции;
pressure_chest;давление в груди;;;
previous_pregnancies_2;две перенесенных беременности;;;
primigravida;первая беременность;единственная беременность;;
prodrome;продромальный период;;;
productive_cough;влажный кашель;;;
projectile_vomiting;очень сильная рвота;;;
prostatism;простатит;;;
proteinemia;наличие белков в плазме крови;;;
pruritus;зуд;;;
pulsus_paradoxus;уменьшение пульса при вдохе;;;
pustule;пустула;прыщь;;
qt_interval_prolonged;длинный qt интервал;;;
r_wave_feature;повышение R волны;аритмия;;
rale;хрип;;;
rambling_speech;бессвязная речь;;;
redness;покраснение;;;
retropulsion;склонность к ходьбе задом наперед;паркинсонизм;;
rhonchus;хрипы в легких;;;
rolling_of_eyes;закатанные глаза;;;
room_spinning;головокружение внутри помещения;;;
satiety_early;быстрое насыщение едой;;;
scar_tissue;рубцовая ткань;;;
scleral_icterus;желтые глаза;склеральная желтуха;;
sedentary;сидячий образ жизни;;;
seizure;припадок;;;
sensory_discomfort;сенсомоторное расстройство;синдром беспокойных ног;;
shooting_pain;стреляющая боль;;;
shortness_of_breath;сбивчивое дыхание;;;
side_pain;боковая боль;;;
sleeplessness;бессонница;отсутствие сна;;
sleepy;сонливость;;;
slowing_of_urinary_stream;замедление потока мочи;трудности при мочеиспускании;;
sneeze;чихание;;;
sniffle;насморк;сопеть;;
snore;храпеть;;;
snuffle;гнусавить;говорить в нос;;
sore_to_touch;больно дотрагиваться;;;
spasm;спазм;;;
speech_slurred;невнятная речь;;;
sputum_purulent;гнойная мокрота;;;
Stahli's_line;линия хадсона стенли;слой отложений железа в эпителии роговицы;;
stiffness;ригидность;;;
stool_color_yellow;желтый стул;;;
stridor;свистящее дыхание;;;
suicidal;мысли о суициде;;;
superimposition;раздвоение взгляда;суперимпозиция;;
sweat;потливость;;;
sweating_increased;увеличенная потливость;;;
swelling;опухлость;;;
syncope;обморок;;;
tachypnea;тахипноэ;;;
terrify;ужас;страх;;
thicken;полнота;;;
throat_sore;боль в горле;;;
tinnitus;звон в ушах;;;
tired;усталость;;;
titubation;заикание;;;
tonic_seizures;тонические припадки;;;
transaminitis;повышение ферментов в печени;;;
tremor;тремор;;;
tremor_resting;тремор покоя;;;
unable_to_concentrate;невозможность сконцентрироваться;;;
unconscious_state;бессознательное состояние;;;
uncoordination;несогласовонность;некоординированность;;
underweight;недовес;;;
unhappy;несчастность;;;
unresponsiveness;невосприимчивость;;;
unsteady_gait;шаткая походка;;;
unwell;плохое самочувствие;;;
urge_incontinence;подтекание мочи;;;
urgency_of_micturition;внезапное недержание мочи;внезапные позывы к мочеиспусканию;;
urinary_hesitation;неуверенное мочеиспускание;затрудненное мочеиспускание;;
verbal_auditory_hallucinations;речевые и слуховые галлюцинации;;;
vertigo;вертиго;;;
vision_blurred;затуманенные взгляд;;;
vomiting;рвота;;;
weepiness;грусть из за плохого самочувствия;;;
weight_gain;набор веса;;;
welt;аллергическая опухлость;;;
wheelchair_bound;инвалидность;;;
wheezing;хриплое дыхание;;;
withdraw;ломка;абстинентный синдром;;
worry;тревога;;;
yellow_sputum;желтая мокрота;;;
abdomen_acute;Острый живот;;;
abdominal_tenderness;Боли в области живота и таза;Гастралгия;;
abortion;Аборт;;;
abscess_bacterial;Абсцесс;;;
absences_finding;;;;
alcohol_binge_episode;Пьянство;;;
ambidexterity;равное развитие функций обеих рук, без выделения ведущей руки;Амбидекстрия;;
angina_pectoris;Стенокардия;ощущением или чувством дискомфорта за грудиной;;
anorexia;Анорексия;полном отсутствии аппетита при объективной потребности организма в питании;;
anosmia;Аносмия;потеря обоняния;;
aphagia;Афагия;потеря способности глотать;;
apyrexial;Апирексия;отсутствие лихорадки;;
arthralgia;артралгия;Боль в суставе;;
ascites;асцит;ненормальное накопление жидкости в брюшной полости.;;
aura;Аура;любое ощущение или переживание, регулярно предшествующее эпилептическому приступу или являющееся самостоятельным приступом;;
bedridden;бессилие;прикованность к постели;;
behavior_hyperactive;гиперактивное поведение;;;
blackout;Отключение, связанное с употреблением наркотиков;амнезия;;
bradycardia;Брадикардия;изменение сердечного ритма, при котором происходит уменьшение частоты сердечных сокращений до 30—50 ударов в минуту;;
bradykinesia;брадикинезия;определяется медленным движением и нарушением способности быстро двигаться по команде;;
breakthrough_pain;Прорывная боль;Внезапное усиление боли;;
bruit;сосудистый шум;ненормальный звук, генерируемый турбулентным потоком крови в артерии;;
burning_sensation;обжигающее ощущение;;;
cardiomegaly;Кардиомегалия;увеличенное сердце;;
cardiovascular_event;сердечно-сосудистый несчастный случай;;;
catatonia;Кататонический синдром;основным клиническим проявлением которого являются двигательные расстройства;;
catching_breath;Отдышка;;;
charleyhorse;болезненных непроизвольных спазмов или спазмов в мышцах ног, как правило, длящихся от нескольких секунд до дня;;;
chest_discomfort;дискомфорт в груди;;;
chest_tightness;стеснение в груди;;;
chill;озноб;переохлождение;простуда;
clonus;подергивание мышц;мышечное сокращение;;
clumsiness;неуклюжесть;;;
colic_abdominal;колики в животе;;;
consciousness_clear;ясное сознание;;;
constipation;Запор;замедленная, затруднённая или систематически недостаточная дефекация (опорожнение кишечника, калоизвержение);;
cough;Кашель;;;
cushingoid_facies;Синдром гиперкортицизма;Лунное лицо; ожирение, с типичным отложением жировой клетчатки в области лица, шеи, груди, живота;
cyanosis;Цианоз;синюха;синюшная окраска кожи и слизистых оболочек, обусловленная высоким содержанием в крови карбгемоглобина ;
cystic_lesion;Киста; патологическая полость в тканях или органах, имеющая стенку и содержимое;;
debilitation;истощение;;;
decompensation;Декомпенсация;нарушение нормального функционирования отдельного органа, системы органов или всего организма;;
decreased_body_weight;уменьшенная масса тела;;;
diarrhea;понос;;;
difficulty;затруднение;;;
difficulty_passing_urine;затруднение прохождения мочи;затруднение мочеиспускания;Дизурия;нарушение мочеиспускания, обычно вследствие затруднения выведения мочи из мочевого пузыря
disequilibrium;отсутствие равновесия;неустойчивость;потеря равновесия;
distended_abdomen;раздутый живот;;;
distress_respiratory;Острый респираторный дистресс-синдром;воспалительное поражение лёгких, характеризующееся диффузной инфильтрацией и тяжёлой гипоксемией;;
disturbed_family;отсутствие членов семьи рядом;;;
dizziness;головокружение;;;
dizzy_spells;приступообразное головокружение;;;
drool;слюнотечение;слюна, непрерывно вытекающая изо рта;;
drowsiness;вялость;забытие;дремота;
dysarthria;нарушение произношения;Дизартрия;;
dysdiadochokinesia;нарушения способности выполнять быстрые, чередующиеся движения;Дисдиадохокинезия;;
dysesthesia;ненормальное чувство осязания;Дизестезия;;
dyspnea;Одышка;не можете вдыхать достаточное количество воздуха;;
dyspnea_on_exertion;одышка при нагрузке;;;
dysuria;расстройство мочеиспускания;затруднения выведения мочи из мочевого пузыря;;
ecchymosis;Синяк;кровоизлияния в кожу или слизистую оболочку;Экхимозы;
egophony;эгофония;;;
emphysematous_change;Эмфизема;обструктивным заболеванием легких;;
energy_increased;Повышенная энергичность;;;
enuresis;энурез;недержание мочи;;
erythema;Эритема; интенсивное покраснение кожи;;
estrogen_use;использование эстрогенов;;;
exhaustion;очень сильная усталость;изнеможение;;
extrapyramidal_sign;Экстрапирамидные расстройства;двигательные нарушения;;
extreme_exhaustion;сильное истощение;;;
facial_paresis;Лицевой паралич;потеря движения лица;;
fall;Падение;;;
fatigability;утомляемость;склонность к усталости;;
fatigue;нарастающая усталость;утомление;;
fear_of_falling;страх падения;;;
fecaluria;Фекалурия;смесь фекалий и мочи, которая выводится из мочеиспускательного канала;;
feeling_hopeless;ощущение безнадежности;;;
feeling_strange;ощущение страха;;;
feeling_suicidal;желание самоубиться;;;
feels_hot/feverish;чувство лихорадки;чувство жара;;
fever;лихорадка;жар;;
flare;покраснение на коже;;;
flatulence;газы;избыточное скопление газов в кишечнике;;
food_intolerance;Пищевая непереносимость;;;
formication;мурашки по телу;;;
frail;хилость;хрупкость;;
gasping_for_breath;нехватка воздуха;дыхательная недостаточность;удушьем, затрудненным дыханием;
general_discomfort;общий дискомфорт;;;
green_sputum;зеленая мокрота;;;
groggy;одномоментное ухудшение состояния;;непрочный;
haemoptysis;кровь в мокроте;откашливание кровью;;
hallucinations_auditory;слуховые галлюцинации;звуковые галлюцинации;;
hallucinations_visual;визуальные галлюцинации;шалюцинации;;
has_religious_belief;имеет религиозные убеждения;;;
headache;Головная боль;боль в голове;;
heartburn;изжога;;;
hematocrit_decreased;Гематокрит;уменьшение объема красных кровяных клеток в крови;;
hematuria;Гематурия;наличие крови в моче сверх величин;;
hemianopsia_homonymous;Гомонимная гемианопсия;тип частичной слепоты, при которой выпадает восприятие одноимённых правых или левых половин поля зрения;;
hepatosplenomegaly;Гепатоспленомегалия;одновременным увеличением селезёнки и печени;;
hirsutism;Гирсутизм;избыточный рост терминальных волос у женщин и детей по мужскому типу;;
history_of_-_blackout;;;;
hoard;поведение, при котором люди или животные накапливают пищу или другие предметы.;;;
hoarseness;Охриплость;потеря голоса;;
homelessness;отсутствие места жительства;;;
hot_flush;чувство сильной жары с потоотделением и учащенным сердцебиением;горячий прилив;;
hydropneumothorax;наличие воздуха и жидкости в плевральном пространстве;жидкость в легком;;
hypercapnia;Гиперкапния;состояние, вызванное избыточным количеством CO2 в крови;отравление углекислым газом;
hyperemesis;рвота при беременности;;;
hyperhidrosis_disorder;Гипергидроз; повышенное потоотделение;;
hyperkalemia;Гиперкалиемия;повышение концентрации калия в крови;;
hypersomnia;Гиперсомния;наличие чрезмерной дневной сонливости или избыточной продолжительности сна;;
hypersomnolence;Чрезмерная дневная сонливость;;;
hypertonicity;гипертония;повышение артериального давления;;
hypoalbuminemia;Гипоальбуминемия;снижением уровня альбумина в сыворотке крови;;
hypokinesia;Гипокинезия; состояние недостаточной двигательной активности организма;;
hypometabolism;пониженный обмен веществ;;;
hyponatremia;Гипонатриемия;пониженная концентрация ионов натрия;;
hypotension;Артериальная гипотензия;снижение артериального давления более, чем на 20 % от исходного/обычных значений;;
hypothermia,_natural;естественное переохлаждение;;;
hypotonic;ненормально пониженный тонус мышц;;;
hypoxemia;Гипоксемия;понижение содержания кислорода в крови ;;
immobile;отстутствие возможности двигаться;;;
impaired_cognition;нарушение сознания;;;
intoxication;интоксикация;отравление;;
irritable_mood;раздражительное настроение;раздражительность;;
jugular_venous_distention;расширение яремной вены;;;
labored_breathing;затрудненное дыхание;;;
lesion;Повреждение;;;
lethargy;летаргия;;;
lightheadedness;легкомысленность;;;
Heberden's_node;шишки на пальцах;0.0;геберденовские узелки;
abdominal_bloating;вздутие живота;метеоризм;0.0;0.0
abnormal_sensation;гиперчуствительность кожи;внезапное чувство жжения на коже;0.0;0.0
ache;продолжительная боль;;0.0;0.0
adverse_reaction;аллергическая реакция;нежелательная реакция;;0.0
alcoholic_withdrawal_symptoms;симптомы отмены алкоголя;;0.0;0.0
asymptomatic;бессимптомное течение;бессимптомие;0.0;0.0
awakening_early;раннее пробуждение;ранний подъем;0.0;0.0
barking_cough;лающий кашель;гавкающий кашель;0.0;0.0
behavior_showing_increased_motor_activity;поведение демонстрирующее повышенную двигательную активность;повышенная двигательная активность;0.0;0.0
blanch;белые участки на теле;белые пятна на коже;0.0;0.0
bowel_sounds_decreased;снижение урчания в животе;отсутствие звуков кишечника;0.0;0.0
breath-holding_spell;приступы задержки дыхания;внезапная задержка дыхания;0.0;0.0
cachexia;сильное истощение организма;кахексия;0.0;0.0
choke;удушье;задыхаться;0.0;0.0
clammy_skin;липкая кожа;потливая кожа;0.0;0.0
claudication;хромота;хромать;0.0;0.0
coordination_abnormal;нарушение координации;плохая координация;0.0;0.0
dullness;тупой перкуторный звук;тупой звук при перкуссии;0.0;0.0
dyspareunia;диспареуния;болезненный половой акт;0.0;0.0
elation;повышенная эмоциональная активность;эмоциональный всплеск;0.0;0.0
excruciating_pain;мучительная боль;невыносимая боль;0.0;0.0
floppy;пониженный мышечный тонус;недостаточный мышечный тонус;0.0;0.0
flushing;покраснение лица;красное лицо;0.0;0.0
focal_seizures;очаговые припадки;;0.0;0.0
fremitus;дрожание в теле;вибрации в теле;0.0;0.0
frothy_sputum;пенистая мокрота;пена в мокроте;0.0;0.0
gag;кляп;вызывать рвоту;0.0;0.0
