task;synonym_1;synonym_2;synonym_3;synonym_4
giddy_mood;легкомысленное настроение;переменчивое настроение;0.0;0.0
gravida_10;количество беременностей 10;10 беременностей;0.0;0.0
hacking_cough;отрывистый кашель;;0.0;0.0
heavy_feeling;чувство тяжести;ощущение тяжести;0.0;0.0
heavy_legs;тяжесть в ногах;тяжелые ноги;0.0;0.0
hematochezia;кровянистый стул;кровь в кале;0.0;0.0
hepatomegaly;увеличенная печень;гепатомегалия;;0.0
homicidal_thoughts;мысли об убийстве;мысль об убийстве человека;0.0;0.0
hunger;голод;чувство голода;0.0;0.0
hyperacusis;чувствительность к звукам;гиперакузия;;0.0
hyperventilation;гипервентиляция;учащённое дыхание;0.0;0.0
hypesthesia;гипестезия;пониженная чувствительность;0.0;0.0
hypocalcemia_result;гипокальцемия;недостаток кальция;0.0;0.0
hypokalemia;гипокалиемия;пониженная концентрация калия;0.0;0.0
hypoproteinemia;гипопротеинемия;низкий уровень белка;0.0;0.0
inappropriate_affect;эмоции не соответствующие реальности;несоответствующий аффект;;0.0
incoherent;бессвязные мысли;0.0;0.0;0.0
indifferent_mood;безразличное настроение;безразличие;0.0;0.0
lameness;неестественная поза тела;0.0;0.0;0.0
macerated_skin;мацерированная кожа;размокшая кожа;0.0;0.0
macule;новообразования на коже;пятно на коже;0.0;0.0
nasal_discharge_present;выделения в носу;слизь в носу;0.0;0.0
nausea_and_vomiting;тошнота и рвота;рвота и тошнота;0.0;0.0
nervousness;нервозность;раздраженность;0.0;0.0
no_known_drug_allergies;аллергия на лекарства;аллергия на неизвестное лекарство;0.0;0.0
noisy_respiration;шумное дыхание;громкое дыхание;0.0;0.0
pain_foot;боль в стопе;боль в лодыжке;0.0;0.0
pain_in_lower_limb;боль в нижних конечностях;боль в ногах;0.0;0.0
photopsia;пятна в глазах;фотопсия;;0.0
poor_dentition;плохой зубной ряд;плохие зубы;0.0;0.0
posterior_rhinorrhea;сильный насморк;обильные выделения из носа;ринорея;0.0
prostate_tender;боль в простате;болезненная простата;0.0;0.0
pulse_absent;слабый пульс;отсутствует пульс;;0.0
rapid_shallow_breathing;быстрое поверхностное дыхание;учащённое поверхностное дыхание;0.0;0.0
red_blotches;красные пятна;0.0;0.0;0.0
regurgitates_after_swallowing;отрыжка после глотания;отрыгивание после глотания;0.0;0.0
rest_pain;боль покоя;боль в состоянии покоя;0.0;0.0
retch;рвотные позывы;позывы к тошноте;0.0;0.0
rhd_positive;позитивный резус фактор;позитивный резус;0.0;0.0
rigor_-_temperature-associated_observation;сильный озноб с дрожанием;озноб с энергичным дрожанием;0.0;0.0
sciatica;защемление седалищного нерва;ишиас;;0.0
scratch_marks;царапины;царапины на теле;0.0;0.0
soft_tissue_swelling;отек мягких тканей;мягкотканная опухоль;0.0;0.0
splenomegaly;увеличение селезенки;спленомегалия;;0.0
stinging_sensation;ощущение жжения;жгучее ощущение;0.0;0.0
stuffy_nose;заложенный нос;заложенность носа;0.0;0.0
stupor;ступор;оцепенение;0.0;0.0
tenesmus;боли в области прямой кишки;тенезмы;;0.0
throbbing_sensation_quality;пульсация;ощущение пульсации;0.0;0.0
todd_paralysis;внезапный паралич;паралич после припадка;0.0;0.0
urinoma;уринома;мочевая водянка;0.0;0.0
verbally_abusive_behavior;оскорбительное поведение;визуально оскорбительное поведение;0.0;0.0
swelling_in_the_genital_area;отек в паху;Отек в области промежности;;
swelling_of_the_testicles;водянка оболочек яичка;опухшие яички;гидроцеле;
testicular_pain;Боль в яичках ;;;
bulging_abdominal_wall;Выпячивание брюшной стенки;;;
early_satiety;Раннее насыщение;раннее появление чувства сытости;;
pain_in_the_calves;Боль в икрах;;;
enlarged_calf;увеличенные икроножные мышцы;;;
muscular_weakness_in_the_leg;слабость мышц ног;Мышечная слабость в ноге;;
skin_lesion;поражение кожи;повреждения на коже;;
scar;шрам;;;
blackhead;угри;;;
wound;рана;травма;ранение;
skin_nodules;узелки на коже;кожные узелки;;
skin_thickening;Утолщение кожи;утолщения на коже;;
hardening_of_the_skin;загрубевшая кожа;;;
skin_rash;высыпания на коже;кожная сыпь;;
cough_with_sputum;Кашель с мокротой;;;
fast,_deepened_breathing;быстрое глубокое дыхание;;;
sputum;мокрота;;;
breathing-related_pains;боли при вдохе;больно вдыхать;;
blackening_of_vision;темнеет в глазах;;;
feeling_faint;Чувство слабости;слабость;;
night_sweats;Ночная потливость;;;
nosebleed;кровь из носа; кровотечение из носа;Носовое кровотечение;
disorientation_regarding_time_or_place;дизориентация в пространстве и времени;;;
dry_mouth;Сухость во рту;;;
tongue_burning;жжение языка;покалывание языка;глоссалгия;
palpitations;Сильное сердцебиение;учащенное сердцебиение;;
pain_on_swallowing;Боль при глотании;;;
dry_skin;сухость кожи;Сухая кожа;;
difficult_defecation;затруднение дефекации;запор;;
blue_colored_skin;посинение кожи;;;
blue_spot_on_skin;синие пятна на коже;;;
blood_in_stool;кровь в стуле;кровь в кале;;
tiredness;вялость;утомление;;
tongue_swelling;отек языка;опухший язык;;
burning_eyes;жжение в глазах;"""горят"" глаза";;
swollen_glands_in_the_groin;Увеличение лимфоузлов в паху;увеличенные лимфоузлы в паху;;
swollen_glands_in_the_armpit;Увеличение лимфоузлов в подмышках;увеличенные лимфоузлы в подмышках;;
tremor_at_rest;дрожание в покое;;;
stomach_burning;Жжение в желудке ;;;
sleepiness_with_spontaneous_falling_asleep;Сонливость со спонтанным засыпанием;;;
skin_wheal;волдыри на коже;;;
skin_redness;Покраснение кожи;;;
black_stools;черный стул;черный кал;потемнение кала;
dark_urine;черная моча;потеменение мочи;;
ringing_in_the_ear;Звон в ушах;шум в ушах;;
increased_urine_quantity;повышенное мочеиспускание;;;
itching_on_head;зуд кожи головы;;;
itching_of_skin;зуд кожи головы;;;
hiccups;икота;;;
agitation;лихорадочное возбуждение;беспокойство;;
memory_gap;провалы в памяти;;;
vomiting_blood;рвота кровью;;;
mouth_ulcers;язвы во рту;;;
loss_of_eye_lashes;выпадение ресниц;;;
flaking_skin_on_the_head;Шелушение кожи на голове;перхоть;;
facial_swelling;отек лица;;;
less_than_3_defecations_per_week;стул реже трех раз в неделю;;;
hard_defecation;затруднение дефекации;затрудненная дефекация;запор;
hair_loss;выпадение волос;;;
weight_loss;потеря веса;;;
lip_swelling;отек губ;опухшие губы;;
muscle_stiffness;ригидность мышц;жесткость мышц;;
formation_of_blisters_on_a_skin_area;образование волдырей на коже;;;
fatty_defecation;Жирные испражнения;;;
increased_thirst;Повышенная жажда;;;
increased_appetite;Повышенный аппетит;;;
muscle_weakness;Мышечная слабость;слабость в мышцах;;
itching_eyes;Зуд в глазах;;;
impairment_of_male_potency;Нарушение мужской потенции;;;
eye_redness;Покраснение глаз;;;
feeling_of_foreign_body_in_the_eye;Ощущение инородного тела в глазу;;;
itching_in_the_mouth_or_throat;Зуд во рту или горле;;;
mouth_pain;Боль во рту;;;
burning_nose;жжение в носу;;;
runny_nose;Насморк;сопливый нос;;
itching_in_the_nose;Зуд в носу;;;
sneezing;Чиханье;;;
tears;слезы;;;
leg_swelling;Отек ног;опухшие ноги;;
cheek_swelling;отек щеки;опухшие щеки;;
unconsciousness,_short;короткий период бессознательности;обморок;;
arm_swelling;отек рук;;;
night_cough;Ночной кашель;;;
toe_swelling;отек пальцев ног;;;
foot_swelling;Отек стопы;;;
bold_area_among_hair_on_the_head;Жирная область среди волос на голове;;;
forgetfulness;Забывчивость;;;
difficulty_to_learn;Трудность в обучении;;;
difficulty_in_finding_words;Трудность в поиске слов;;;
vision_impairment;Нарушения зрения;;;
muscular_atrophy_in_the_leg;Мышечная атрофия в ноге;;;
muscular_weakness_in_the_arm;Мышечная слабость в руке;слабость мышц рук;;
muscular_atrophy_of_the_arm;Мышечная атрофия руки;;;
itching_of_the_anus;Зуд в Заднем Проходе;;;
painful_defecation;Болезненная дефекация;;;
pain_of_the_anus;Боль в заднем проходе;;;
cold_hands;холодные руки;;;
brittleness_of_nails;Ломкость ногтей;;;
eyelid_swelling;Отек век;опухшие веки;;
ankle_deformity;Деформация голеностопного сустава;;;
foot_pain;Боль в ногах;боль в ступне;;
joint_instability;Нестабильность суставов;;;
limited_mobility_of_the_ankle;Ограниченная подвижность голеностопного сустава;;;
joint_pain;Боль в суставах;;;
ankle_swelling;Отек лодыжки;;;
back_pain;Боль в спине;;;
menstruation_disorder;Нарушение менструации;нарушения цикла;;
sensitivity_to_cold;Чувствительность к холоду;;;
missed_period;Задержка;задержка месячных;;
joylessness;Безрадостность;угрюмость;грусть;
sadness;печаль;тоскливость;уныние;
anxiety;Тревога;беспокойство;тревожность;
chest_pain;Боль в груди;;;
irregular_heartbeat;Нерегулярное сердцебиение;;;
hot_flushes;приливы жара;;;
absence_of_a_pulse;Отсутствие пульса;;;
heart_murmur;Шум в сердце;;;
pain_when_chewing;Боль при жевании;;;
toothache;Зубная боль;;;
lower_abdominal_pain;Боль внизу живота;;;
rebound_tenderness;Раздражение брюшины;болезненность при внезапном ослаблении давления ;;
abdominal_guarding;симптом мышечной защиты;симптом мышечной защиты;;
limited_mobility_of_the_leg;Ограниченная подвижность ноги;;;
finger_swelling;опухание пальцев;отек пальцев;;
hand_swelling;Опухание рук;отек руки;;
knee_pain;Боль в коленях;;;
limited_mobility_of_the_hip;Ограничение подвижности тазобедренного сустава;;;
hand_pain;боль в руке;;;
limited_mobility_of_the_fingers;Ограниченная подвижность пальцев;;;
morning_stiffness;утренняя скованность;утренний стояк;;
finger_pain;боль в пальцах рук;;;
elbow_pain;боль в локте;;;
leg_pain;боль в ноге;;;
hip_pain;Боль в бедре;;;
arm_pain;Боль в руке;;;
blurred_vision;Затуманенное зрение;;;
scalp_redness;Покраснение кожи головы;;;
crusting;Образование корки;;;
non-healing_skin_wound;Незаживающая рана кожи;;;
leg_cramps;Судороги ног;;;
urge_to_urinate;Позыв к мочеиспусканию;;;
feeling_of_residual_urine;Ощущение остаточной мочи;;;
urination_during_the_night;Мочеиспускание в ночное время;писание по ночам;;
decreased_urine_stream;Снижение потока мочи;;;
frequent_urination;Учащенное мочеиспускание;частое мочеиспускание;;
painful_urination;Болезненное мочеиспускание;;;
delayed_start_to_urination;Задержка начала мочеиспускания;;;
dribbling_after_urination;протекание после мочеиспускания;;;
oversensitivity_to_light;Повышенная чувствительность к свету;;;
eyelids_sticking_together;слипающиеся веки;;;
eye_pain;Боль в глазу;;;
immobilization;обездвижение;;;
pain_in_the_bones;Боль в костях;;;
bone_fracture;Перелом кости;;;
joint_swelling;Опухание суставов;;;
finger_deformity;Деформация пальца руки;;;
hip_deformity;Деформация бедра;;;
toe_deformity;Деформация пальца стопы;деформация пальцев ног;;
face_pain;Боль в лице;;;
cravings;похоть;пристрастие к определённой еде (у беременных;возбуждение;
joint_redness;Покраснение суставов;;;
difficulty_in_swallowing;Трудности при глотании;;;
lump_in_the_breast;комок в груди;;;
changes_in_the_nails;Изменения в ногтях;;;
tingling;Покалывание;пощипывание;;
numbness_of_the_hands;Онемение рук;;;
numbness_in_the_arm;Онемение в руке;;;
sensitivity_to_glare;Чувствительность к яркому свету;;;
impaired_light-dark_adaptation;Нарушение свето-темновой адаптации;;;
double_vision; двоение в глазах;диплопия;;
halo;гало;;;
bloated_feeling_in_the_stomach;Ощущение вздутия в животе;;;
foul_smelling_defecation;Неприятный запах испражнений;;;
difficulty_to_concentrate;Трудности с концентрацией внимания;;;
weakness_or_numbness_on_right_or_left_side_of_body;Слабость или онемение на правой или левой стороне тела;;;
trouble_understanding_speech;Проблемы с пониманием речи;;;
facial_paralysis;Лицевой паралич;паралич лица;;
impaired_balance;Нарушение баланса;потеря равновесия;;
difficulty_with_gait;Трудности с походкой;;;
visual_field_loss;уменьшение поля зрения;сокарщение поля зрения;;
double_vision,_acute-onset;двоение в глазах;;;
physical_inactivity; гиподинамия;отсутствие физической активности;недостаточная физическая активность;
difficulty_in_speaking;затрудненная речь;;;
paralysis;Паралич;;;
neck_pain;боль в шее;;;
pain_radiating_to_the_arm;Боль, отдающая в руку;;;
itching_or_burning_in_the_genital_area;Зуд или жжение в области гениталий;;;
purulent_discharge_from_the_urethra;Гнойные выделения из мочеиспускательного канала;;;
yellowish_discoloration_of_the_white_part_of_the_eye;Желтоватое обесцвечивание белой части глаза;;;
yellow_colored_skin;пожелтение кожи;желтизна кожи;;
pain_in_the_limbs;Боль в конечностях;;;
lower-back_pain;боль в пояснице;;;
marked_veins;выпирающие вены;;;
feeling_of_tension_in_the_legs;Ощущение напряжения в ногах;;;
leg_ulcer;Язва на ноге ;;;
feeling_ill;плохое самочувствие;;;
swollen_glands_in_the_neck;Опухшие железы на шее;увеличенные гланды;;
burning_in_the_throat;Жжение в горле;;;
sore_throat;боль в горле;воспаленное горло;;
muscle_pain;боль в мышцах;;;
genital_warts;остроконечная кондилома;генитальные бородавочки;;
chills;Озноб ;;;
drooping_eyelid;опущение верхнего века;;;
incomplete_defecation;Неполная дефекация;;;
flaking_skin;Шелушение кожи;;;
cold_sweats;Холодный пот;;;
tremor_on_movement;дрожание при движении;;;
earache;боль в ухе;;;
problems_with_the_sense_of_touch_in_the_feet;Проблемы с осязанием в ногах;;;
cold_feet;Холодные ноги;;;
limited_mobility_of_the_back;Ограниченная подвижность спины;спину прихватило;;
cramps;спазмы;схватки;судороги;
bleeding_in_the_conjunctiva_of_the_eye;Кровотечение в конъюнктиве глаза;;;
protrusion_of_the_eyes;Выпячивание глаз;;;
uncontrolled_defecation;неконтролируемый стул;непроизвольная дефекация;;
bloody_cough;кашель с кровью;отхаркивание крови;;
hallucination;галлюцинации;;;
problems_with_the_sense_of_touch_in_the_face;Проблемы с осязанием на лице;;;
increased_touch_sensitivity;повышенная чувствительность;;;
impaired_hearing;Нарушение слуха;;;
itching_in_the_ear;Зуд в ухе;;;
reduced_appetite;снижение аппетита;пониженный аппетит;;
knee_deformity;Деформация коленного сустава ;;;
eye_blinking; моргание;;;
tic;судорожное сокращение;тик;;
increased_salivation;Повышенное слюноотделение;;;
involuntary_movements;Involuntary movements;;;
vision_impairment_for_near_objects;Ухудшение зрения вблизи;дальнозоркость;;
mood_swings;колебания настроения ;частые перепады настроения;неустойчивое эмоциональное состояние ;
moist_and_softened_skin;мягкая и влажная кожа;;;
    feeling_of_pressure_in_the_ear;давление в ушах;давит в ушах;ощущение давления в ушах;
hearing_loss;потеря слуха;;;
lockjaw;Столбняк;;;
dry_eyes;сухость в глазах;;;
back_deformity;Деформация спины;;;
curvature_of_the_spine;Искривление позвоночника;;;
pain_radiating_to_the_leg;боль отдает в ногу;;;
aggressiveness;Агрессивность;;;
malposition_of_the_testicles;Неправильное положение яичек;;;
increased_drive;повышенная возбуждаемость;;;
irregular_mole;злокачественная родинка;;;
sensitivity_to_noise;Чувствительность к шуму;;;
discoloration_of_nails;обесцвечивание ногтей;;;
vision_impairment_for_far_objects;близорукость;;;
burning_sensation_when_urinating;Жжение при мочеиспускании;;;
coarsening_of_the_skin_structure;Огрубение кожи;;;
sweating;потливость;;;
joint_effusion;Выпот в суставе;;;
stress-related_leg_pain;боль в ноге связанная со стрессом;;;
numbness_in_the_leg;Онемение в ноге;;;
shiny_red_tongue;Блестящий красный язык;;;
purulent_discharge_from_the_vagina;Гнойные выделения из влагалища;;;
